id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
168179,https://batdongsan.vn/ban-lo-71m2-quang-trung-p8-go-vap-gia-53-ty-doi-dien-mercedes-r168179,"Bán lô 71m² Quang trung, P8 Gò Vấp Giá 5.3 Tỷ, Đối diện mercedes","Gò Vấp, Hồ Chí Minh",3600,71.0,,,,False,5300.0
167991,https://batdongsan.vn/ban-can-ho-thuong-mai-a6-39-so-hong-chinh-chu-khu-do-thi-hqc-tra-vinh-r167991,"Bán căn hộ thương mại A6-39 (sổ hồng chính chủ), Khu đô thị HQC Trà Vinh","Trà Vinh, Trà Vinh",3600,2.0,2.0,2.0,2.0,False,1300.0
167982,https://batdongsan.vn/nha-pho-co-linh-dan-xay-o-to-mat-tien-khung-6m-79-ty-r167982,Nhà phố Cổ Linh - Dân xây - Ô tô - Mặt tiền khủng 6m - 7.9 tỷ,"Long Biên, Hà Nội",3600,38.0,4.0,3.0,4.0,True,7900.0
167960,https://batdongsan.vn/ban-nha-khu-duong-nguyen-van-dau-phuong-11-quan-binh-thanh-dien-r167960,Bán nhà khu đường Nguyễn Văn Đậu phường 11 Quận Bình Thạnh Diện.,"Bình Thạnh, Hồ Chí Minh",3600,100.0,5.0,,3.0,False,14500.0
168055,https://batdongsan.vn/mat-pho-hoa-lam-giap-ngo-gia-tu-kinh-doanh-dinh-giu-tien-tot-hoa-lam-long-bien-r168055,"MẶT PHỐ HOA LÂM – GIÁP NGÔ GIA TỰ – KINH DOANH ĐỈNH – GIỮ TIỀN TỐT 🌟
📍 Hoa Lâm, Long Biên –","Long Biên, Hà Nội",3600,96.0,1.0,1.0,3.0,True,
167980,https://batdongsan.vn/ban-can-tret-lau-hem-8m-duong-so-37-phuong-hiep-binh-chanh-thanh-pho-thu-duc-r167980,"Bán Căn Trệt Lầu Hẻm 8m Đường Số 37 Phường Hiệp Bình Chánh, Thành Phố Thủ Đức","Thủ Đức, Hồ Chí Minh",3600,78.0,3.0,2.0,1.0,False,8500.0
167975,https://batdongsan.vn/nha-gan-le-van-khuong-dang-thuc-vinh-hoc-mon-r167975,"NHÀ GẦN LÊ VĂN KHƯƠNG, ĐẶNG THÚC VỊNH , HÓC MÔN.","Hóc Môn, Hồ Chí Minh",3600,80.0,3.0,2.0,,False,1700.0
168047,https://batdongsan.vn/mat-pho-tran-thu-do-43-ty-150m-mat-tien-5m-via-he-kinh-doanhlong-bien-r168047,"MẶT PHỐ TRẦN THỦ ĐỘ 43 tỷ 150m MẶT TIỀN 5m VỈA HÈ KINH DOANH,LONG BIÊN","Hoàng Mai, Hà Nội",3600,150.0,6.0,5.0,5.0,True,43000.0
168048,https://batdongsan.vn/137-ty-phan-lo-o-to-tranh-52m-x-5t-ngo-thong-kinh-doanh-dinh-xuan-thuy-cau-giay-260trm2-r168048,"13.7 tỷ-phân lô – ô tô tránh-52m x 5T-ngõ thông-kinh doanh đỉnh-Xuân Thủy, Cầu Giấy-260tr/m2","Cầu Giấy, Hà Nội",3600,52.0,6.0,5.0,5.0,False,13700.0
168035,https://batdongsan.vn/ban-nha-phan-lo-o-to-tranh-kinh-doanh-dinh-trung-tam-cau-giay-dong-tien-300trnam-r168035,"BÁN NHÀ PHÂN LÔ, Ô TÔ TRÁNH, KINH DOANH ĐỈNH TRUNG TÂM CẦU GIẤY DÒNG TIỀN 300TR/NĂM","Cầu Giấy, Hà Nội",3600,38.0,4.0,,5.0,False,13.8
168015,https://batdongsan.vn/ban-nha-mat-pho-91m2-mtkd-duong-vuon-lai-q-tan-phu-3pn-144-ty-r168015,"Bán nhà mặt phố 91m² - MTKD Đường Vườn Lài, Q. Tân Phú - 3PN - 14,4 tỷ","Tân Phú, Hồ Chí Minh",3600,91.0,3.0,3.0,2.0,True,14400.0
167993,https://batdongsan.vn/ban-dat-viet-hung-lo-goc-oto-tranh-65m-mat-tien-45m-nhinh-13-ty-r167993,"Bán đất Việt Hưng - Lô góc - oto tránh - 65m mặt tiền 4,5m nhỉnh 13 tỷ","Long Biên, Hà Nội",3600,65.0,,,,True,13200.0
167951,https://batdongsan.vn/59ty-co-nha-thanh-lan-ba-gac-tranh-nhau-ngo-thong-nha-moi-full-noi-that-r167951,"5,9tỷ CÓ NHÀ THANH LÂN, BA GÁC TRÁNH NHAU, NGÕ THÔNG, NHÀ MỚI, FULL NỘI THẤT","Hoàng Mai, Hà Nội",3600,30.0,3.0,4.0,,False,5900.0
168076,https://batdongsan.vn/ban-nha-quan-7-o-to-do-cua-duong-lam-van-ben-4x20m-gia-chi-nhinh-7-ty-80m2-r168076,"Bán Nhà Quận 7, Ô TÔ đỗ cửa, đường Lâm Văn Bền, 4x20m giá chỉ nhỉnh 7 tỷ
-  80m2","Quận 7, Hồ Chí Minh",3600,80.0,,,2.0,False,7000.0
168049,https://batdongsan.vn/dinh-thu-122-kim-giang-55m-2-thoang-kien-truc-kieu-xa-cach-o-to-30m-r168049,"Dinh thự 122 Kim Giang 55m, 2 thoáng, kiến trúc kiêu xa, cách ô tô 30m","Hoàng Mai, Hà Nội",3600,55.0,6.0,5.0,5.0,False,9200.0
168017,https://batdongsan.vn/hxt-trai-nhua-khu-hang-xanh-50m2-87ty-tl-r168017,"HXT trải nhựa khu Hàng Xanh - 50m2 - 8,7Tỷ TL","Bình Thạnh, Hồ Chí Minh",3600,50.0,3.0,4.0,2.0,False,8700.0
168038,https://batdongsan.vn/2-mat-pho-trung-tam-dong-da-xay-toa-van-phong-sieu-dep-kinh-doanh-dinh-r168038,2 MẶT PHỐ - TRUNG TÂM ĐỐNG ĐA - XÂY TÒA VĂN PHÒNG SIÊU ĐẸP - KINH DOANH ĐỈNH,"Đống Đa, Hà Nội",3600,120.0,,,,True,88000.0
